task,split,dataset_index,sr,tr,collision,steps,target_precision,target_recall,mean_target_iou,detection_rate,distance_end_m,status
at,val,0,0.0,0.8571428571428571,1.0,7,1.0,0.14285714285714285,0.7406742047976329,0.14285714285714285,0.3682546615600586,Collision
at,val,1,1.0,0.9787234042553191,0.0,47,1.0,0.7872340425531915,0.8464958257484323,0.7872340425531915,1.8154758214950562,Normal
at,val,2,0.0,0.611764705882353,0.0,85,1.0,0.5079365079365079,0.8588713635277151,0.3764705882352941,1.5566221475601196,Normal
at,val,3,0.0,0.12727272727272726,0.0,55,1.0,0.3333333333333333,0.7951184283755119,0.07272727272727272,6.075984954833984,Normal
dt,val,0,0.0,0.74,1.0,50,1.0,0.574468085106383,0.8042394146496901,0.54,0.40153512358665466,Collision
dt,val,1,1.0,1.0,0.0,46,1.0,0.8260869565217391,0.8599147715148704,0.8260869565217391,1.8145837783813477,Normal
dt,val,2,1.0,0.9566666666666667,0.0,300,1.0,0.9486301369863014,0.8729501515074067,0.9233333333333333,1.8308665752410889,Normal
dt,val,3,0.0,0.16071428571428573,0.0,56,1.0,0.5454545454545454,0.8283226841510419,0.10714285714285714,6.0978288650512695,Normal
stt,val,0,0.0,1.0,1.0,7,1.0,0.14285714285714285,0.7903305377405032,0.14285714285714285,0.4006369709968567,Collision
stt,val,1,1.0,0.8723404255319149,0.0,47,1.0,0.7659574468085106,0.8450998830387139,0.7659574468085106,1.7518274784088135,Normal
stt,val,2,0.0,0.5529411764705883,0.0,85,1.0,0.5072463768115942,0.8680106773917766,0.4117647058823529,1.8271268606185913,Normal
stt,val,3,0.0,0.12727272727272726,0.0,55,1.0,0.25,0.7884425275834599,0.05454545454545454,6.082452297210693,Normal
